,n_rows,total_time,model,log10_total_time
144,16000.0,15.1,ATM-TCR,1.1789769472931695
145,20000.0,16.4,ATM-TCR,1.2148438480476977
146,20000.0,16.7,ATM-TCR,1.2227164711475833
147,20000.0,17.9,ATM-TCR,1.252853030979893
148,20000.0,17.9,ATM-TCR,1.252853030979893
149,20000.0,16.9,ATM-TCR,1.2278867046136734
150,4000.0,7.2,ImRex,0.8573324964312685
151,4000.0,7.2,ImRex,0.8573324964312685
152,4000.0,7.3,ImRex,0.8633228601204559
153,4000.0,7.1,ImRex,0.8512583487190752
154,4000.0,7.3,ImRex,0.8633228601204559
155,8000.0,8.3,ImRex,0.919078092376074
156,8000.0,8.4,ImRex,0.9242792860618817
157,8000.0,8.3,ImRex,0.919078092376074
158,8000.0,8.4,ImRex,0.9242792860618817
159,8000.0,8.5,ImRex,0.9294189257142927
160,12000.0,9.7,ImRex,0.9867717342662448
161,12000.0,9.6,ImRex,0.9822712330395684
162,12000.0,9.5,ImRex,0.9777236052888477
163,12000.0,9.7,ImRex,0.9867717342662448
164,12000.0,9.9,ImRex,0.9956351945975499
165,16000.0,11.0,ImRex,1.041392685158225
166,16000.0,11.2,ImRex,1.0492180226701815
167,16000.0,11.0,ImRex,1.041392685158225
168,16000.0,10.9,ImRex,1.0374264979406236
169,16000.0,10.5,ImRex,1.021189299069938
170,20000.0,12.2,ImRex,1.0863598306747482
171,20000.0,12.1,ImRex,1.08278537031645
172,20000.0,11.7,ImRex,1.0681858617461617
173,20000.0,11.7,ImRex,1.0681858617461617
174,20000.0,12.2,ImRex,1.0863598306747482
175,4000.0,5344.0,AVIB,3.727866449467489
176,4000.0,6808.0,AVIB,3.8330195470765314
177,4000.0,4009.0,AVIB,3.6030360562505215
178,4000.0,3140.0,AVIB,3.496929648073215
179,4000.0,4455.0,AVIB,3.6488477083728936
180,8000.0,5345.0,AVIB,3.7279477095447966
181,8000.0,6808.0,AVIB,3.8330195470765314
182,8000.0,4010.0,AVIB,3.603144372620182
183,8000.0,3141.0,AVIB,3.497067936398505
184,8000.0,4455.0,AVIB,3.6488477083728936
185,12000.0,5345.0,AVIB,3.7279477095447966
186,12000.0,6809.0,AVIB,3.833083334178343
187,12000.0,4010.0,AVIB,3.603144372620182
188,12000.0,3141.0,AVIB,3.497067936398505
189,12000.0,4456.0,AVIB,3.6489451821656727
190,16000.0,5345.0,AVIB,3.7279477095447966
191,16000.0,6809.0,AVIB,3.833083334178343
192,16000.0,4010.0,AVIB,3.603144372620182
193,16000.0,3141.0,AVIB,3.497067936398505
194,16000.0,4456.0,AVIB,3.6489451821656727
195,20000.0,5346.0,AVIB,3.7280289544205183
196,20000.0,6809.0,AVIB,3.833083334178343
197,20000.0,4011.0,AVIB,3.6032526619816467
198,20000.0,3142.0,AVIB,3.4972061807039547
199,20000.0,4456.0,AVIB,3.6489451821656727
